"name","address","city","state","zipcode","county","latitude","longitude","adp","month","year","fiscalyear","inspectionmonth","inspectionyear","administrativesegregation","calculatedforce","chemicalforce","detainee_detainee_physassault_noseriousinj","detainee_detainee_physassault_seriousinj","detainee_staff_physassault_noseriousinj","detainee_staff_physassault_seriousinj","disciplinaryappeals","disciplinaryappeals_detaineefavor","disciplinaryinfractions","disciplinaryinfractions_guilty","disciplinarysegregation","force_seriousinjury","hungerstrikes","immediateforce","infectiousdiseasesconfirmed","infectiousdiseasesreported","medicalobservation","medicalsegregation","mentalhealthobservation","mentalhealthsegregation","nonlethalweaponsincidents","offsiteemergencycare","offsitemedicalcare","offsitementalhealthcare","outsidemedicalreferrals","pointrestraints","sanctionsover60days","sexual_detaineedetainee","sexual_detaineedetainee_sub","sexual_detaineeinmate","sexual_detaineeinmate_sub","sexual_detaineestaff","sexual_detaineestaff_sub","sexual_inmatedetainee","sexual_inmatedetainee_sub","sexual_staffdetainee","sexual_staffdetainee_sub","sickcallencounters","sickcallrequests","stripsearches","suicideattempts","suicideconstantmentalhealthwatch","disciplinary_filed","disciplinary_sub","food_filed","food_sub","force_filed","force_sub","library_filed","library_sub","mail_filed","mail_sub","medical_filed","medical_sub","other_filed","other_sub","prop_filed","prop_sub","safety_filed","safety_sub","sanitation_filed","sanitation_sub","sexualassault_sub","sexualassult_filed","solitary_filed","solitary_sub","staffconduct_filed","staffconduct_sub","visitation_filed","visitation_sub"
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,757.042603453055,9,2020,2020,12,2020,67,0,1,3,0,1,0,1,1,7,7,4,0,0,3,29,29,7,38,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,570,571,0,0,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,433.076565814644,10,2019,2020,11,2019,1,0,0,5,0,0,0,0,0,29,29,29,0,9,0,6,0,23,0,7,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,369,369,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,892.820441989,10,2020,2021,12,2020,12,0,0,1,0,0,0,0,0,0,0,6,0,2,0,21,21,6,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,377,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,967.281018370761,10,2021,2022,12,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,60,14,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,126,126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,1057.15993985848,11,2021,2022,12,2021,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,70,25,0,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,152,152,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,961.371087812485,4,2020,2020,12,2020,49,0,0,3,0,0,0,2,0,45,45,45,0,1,0,24,24,22,4,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,824,863,0,0,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,1041.60027677193,12,2019,2020,12,2020,2,0,0,1,0,0,0,0,0,2,2,2,0,0,0,17,17,28,0,1,0,0,5,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,420,437,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,269.399631676283,12,2020,2021,12,2021,51,0,0,1,0,0,0,0,0,2,2,1,0,0,1,3,3,7,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,251,251,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,1031.88158841964,2,2020,2020,12,2020,6,0,0,2,0,0,0,0,0,4,4,5,0,4,0,16,16,11,1,1,0,0,2,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,538,564,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,1066.820354559,5,2021,2021,12,2021,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,259,259,38,0,2,0,0,13,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,272,272,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
